,Titles,Author Names,Published Time,First Paragraph,Links,Images
73,,AFP,**,,https://www.dawn.com/news/1721857/musk-asks-twitter-users-if-trump-should-be-reinstated,https://i.dawn.com/thumbnail/2022/11/191210449ddac81.jpg?r=121549
74,,AFP,**,"Entry to Twitter's offices temporarily closed until Monday; Musk asks users to vote “yes” or “no” on whether to reinstate Trump.
 
    ",https://www.dawn.com/news/1721846/twitter-fate-in-doubt-as-employees-defy-elon-musk-ultimatum,https://i.dawn.com/medium/2022/11/19110314f52bf5e.png?r=110345
75,,Monitoring Desk,**,"Meta fires or disciplines more than two dozen employees who were accused of improperly taking over user accounts.
 
    ",https://www.dawn.com/news/1721761/meta-confirms-axing-dozens-for-taking-over-facebook-accounts,https://i.dawn.com/medium/2022/11/6378606c116a4.jpg
76,,Tanzeel Hassan,**,,https://www.dawn.com/news/1720657/getting-women-their-due,https://i.dawn.com/thumbnail/2022/11/63705a248d5f0.jpg
77,,Rabeea Saleem,**,"The psychological effects of the devastation caused by the floods are more drastic among children, women and the elderly...
 
    ",https://www.dawn.com/news/1720652/health-the-long-journey-to-recovery,https://i.dawn.com/medium/2022/11/637057189ddac.jpg
78,,Jo Adetunji,**,"The billionaire’s hostile takeover of the social media platform has left its users uneasy about its future. Are they right to be
 
    ",https://www.dawn.com/news/1720645/technology-after-elon-musk-what-next-for-twitter,https://i.dawn.com/medium/2022/11/6370561e59416.jpg
79,,Maliha Rehman,**,,https://www.dawn.com/news/1720677/the-icon-interview-the-joy-of-saim,https://i.dawn.com/thumbnail/2022/11/6370798702186.jpg
80,,Band Baji,**,"Singer, songwriter and producer Rozeo sings about falling for the ‘bad’ girl in Tez
 
    ",https://www.dawn.com/news/1720676/soundcheck-fast-love,https://i.dawn.com/medium/2022/11/637077ed19985.jpg
81,,PYT,**,"There’s no stopping The Legend of Maula Jatt. Screened all across the world, not to mention that it’s been watched and praised by
 
    ",https://www.dawn.com/news/1720675/the-grapevine,https://i.dawn.com/medium/2022/11/637073879c337.jpg
82,,,**,,https://www.dawn.com/news/1720864/agricultures-declining-contribution-to-smog,https://i.dawn.com/thumbnail/2022/11/6371c5d2ed230.jpg
83,"Debt is costlier than we think
",,**,,https://www.dawn.com/news/1720860/debt-is-costlier-than-we-think, 
84,"Filling the missing space
",,**,,https://www.dawn.com/news/1720863/filling-the-missing-space, 
85,,,**,,https://www.dawn.com/news/1493036/the-railway-lines-in-pakistan-and-the-stories-they-tell,https://i.dawn.com/thumbnail/2019/07/5d2454a3d7d5e.jpg
86,"The pleasures and perils of sheltering animals
",,**,,https://www.dawn.com/news/1491958/the-pleasures-and-perils-of-sheltering-animals, 
87,"What lies behind the spread of HIV in Larkana
",,**,,https://www.dawn.com/news/1491613/what-lies-behind-the-spread-of-hiv-in-larkana, 
88,,,**,,https://www.dawn.com/news/1721449/an-advocate-of-many-missions-afia-salam-in-profile,https://i.dawn.com/thumbnail/2022/11/6375e77baa8e1.jpg
89,"How sustainable finance can help Pakistan’s zero-emission goals
",,**,,https://www.dawn.com/news/1721253/how-sustainable-finance-can-help-pakistans-zero-emission-goals, 
90,‘Pakistan is a very important market for TikTok’,,**,,https://www.dawn.com/news/1721073/pakistan-is-a-very-important-market-for-tiktok, 
91,"EPICURIOUS: THE GINGERBREAD VILLAGE
",,**,,https://www.dawn.com/news/1660293/epicurious-the-gingerbread-village, 
92,"GOLF: PAKISTAN’S SOARING EAGLES
",,**,,https://www.dawn.com/news/1660589/golf-pakistans-soaring-eagles, 
93,"SOCIETY: INSPIRING INCLUSIVITY, ONE POST AT A TIME
",,**,,https://www.dawn.com/news/1660591/society-inspiring-inclusivity-one-post-at-a-time, 
94,"FIFA World Cup Qatar 2022: The fun begins
",,**,,https://www.dawn.com/news/1721861/fifa-world-cup-qatar-2022-the-fun-begins, 
95,"Mailbox
",,**,,https://www.dawn.com/news/1721860/mailbox, 
96,"Poet's Corner
",,**,,https://www.dawn.com/news/1721858/poets-corner, 
97,"FICTION: HISTORY, CRIME AND POWER
",,**,,https://www.dawn.com/news/1720668/fiction-history-crime-and-power, 
98,"FICTION: THE AMBIGUITY OF NORMALITY
",,**,,https://www.dawn.com/news/1720667/fiction-the-ambiguity-of-normality, 
99,"POETRY: POETRY AS POLITICS
",,**,,https://www.dawn.com/news/1720664/poetry-poetry-as-politics, 
100,"Politicking surges days before new COAS is named
",,**,,https://www.dawn.com/news/1721779/politicking-surges-days-before-new-coas-is-named, 
101,"Lawyer’s quip makes CJP wonder if Imran ‘wants to breach law’
",,**,,https://www.dawn.com/news/1721776/lawyers-quip-makes-cjp-wonder-if-imran-wants-to-breach-law, 
102,"Court asks ECP to set date for Karachi, Hyderabad LG polls
",,**,,https://www.dawn.com/news/1721768/court-asks-ecp-to-set-date-for-karachi-hyderabad-lg-polls, 
103,"UN climate summit drags on amid funding deadlock
",,**,,https://www.dawn.com/news/1721767/un-climate-summit-drags-on-amid-funding-deadlock, 
104,"‘Peaceful or destructive’, change to come at any cost: PTI chief
",,**,,https://www.dawn.com/news/1721766/peaceful-or-destructive-change-to-come-at-any-cost-pti-chief, 
105,"ANALYSIS: Is it PTI’s turn to see electables ‘fly out’ of its nest?
",,**,,https://www.dawn.com/news/1721751/analysis-is-it-ptis-turn-to-see-electables-fly-out-of-its-nest, 
106,"Single curriculum for secondary classes from next year
",,**,,https://www.dawn.com/news/1721750/single-curriculum-for-secondary-classes-from-next-year, 
107,"Mourners flood streets at funeral of 21 Gaza fire victims
",,**,,https://www.dawn.com/news/1721749/mourners-flood-streets-at-funeral-of-21-gaza-fire-victims, 
108,"Crypto being used to fund terror: Modi
",,**,,https://www.dawn.com/news/1721748/crypto-being-used-to-fund-terror-modi, 
109,"Immunity for MBS in Khashoggi case angers rights groups
",,**,,https://www.dawn.com/news/1721747/immunity-for-mbs-in-khashoggi-case-angers-rights-groups, 
110,"Finance minister briefs ‘straight-faced’ President Alvi on govt economic plan
",,**,,https://www.dawn.com/news/1721815/finance-minister-briefs-straight-faced-president-alvi-on-govt-economic-plan, 
111,"SC orders heavy bikes off motorways
",,**,,https://www.dawn.com/news/1721813/sc-orders-heavy-bikes-off-motorways, 
112,"Sugar millers threaten to delay crushing if ‘partial’ export not permitted
",,**,,https://www.dawn.com/news/1721811/sugar-millers-threaten-to-delay-crushing-if-partial-export-not-permitted, 
113,"Personnel called for long march security in Rawalpindi decry ‘bug-infested’ food
",,**,,https://www.dawn.com/news/1721810/personnel-called-for-long-march-security-in-rawalpindi-decry-bug-infested-food, 
114,"Family blames govt as victims of deadly van crash on Indus Highway laid to rest
",,**,,https://www.dawn.com/news/1721809/family-blames-govt-as-victims-of-deadly-van-crash-on-indus-highway-laid-to-rest, 
115,"Over 40,000 visit four-day mega defence show in city
",,**,,https://www.dawn.com/news/1721723/over-40000-visit-four-day-mega-defence-show-in-city, 
116,"Art in brackets
",,**,,https://www.dawn.com/news/1721722/art-in-brackets, 
117,"First-of-its-kind telemedicine drone kit launched in Sindh
",,**,,https://www.dawn.com/news/1721721/first-of-its-kind-telemedicine-drone-kit-launched-in-sindh, 
118,"Sharjeel asks TransKarachi to expedite work on Red Line
",,**,,https://www.dawn.com/news/1721728/sharjeel-asks-transkarachi-to-expedite-work-on-red-line, 
119,"Opposition, ruling parties in Sindh hail verdict on LG polls, but doubts remain
",,**,,https://www.dawn.com/news/1721727/opposition-ruling-parties-in-sindh-hail-verdict-on-lg-polls-but-doubts-remain, 
120,"JIT inspects  Wazirabad attack scene again
",,**,,https://www.dawn.com/news/1721808/jit-inspects-wazirabad-attack-scene-again, 
121,"Lahore infested with land grab, other crimes
",,**,,https://www.dawn.com/news/1721807/lahore-infested-with-land-grab-other-crimes, 
122,"Ganga Ram’s descendant arrives in Lahore today
",,**,,https://www.dawn.com/news/1721806/ganga-rams-descendant-arrives-in-lahore-today, 
123,"LHC directs NTDC to hear Turkish company grievances
",,**,,https://www.dawn.com/news/1721805/lhc-directs-ntdc-to-hear-turkish-company-grievances, 
124,"Rs1.3bn spent on roads leading to Tableeghi congregation venue
",,**,,https://www.dawn.com/news/1721804/rs13bn-spent-on-roads-leading-to-tableeghi-congregation-venue, 
125,"Govt to enact law to give legal cover to street vendors
",,**,,https://www.dawn.com/news/1721699/govt-to-enact-law-to-give-legal-cover-to-street-vendors, 
126,"Opposing sides disrupt public hearing on Bhara Kahu project
",,**,,https://www.dawn.com/news/1721698/opposing-sides-disrupt-public-hearing-on-bhara-kahu-project, 
127,"Control centre set up in Rawalpindi to monitor long march
",,**,,https://www.dawn.com/news/1721697/control-centre-set-up-in-rawalpindi-to-monitor-long-march, 
128,"NDMA issues guidelines for tourists during winter
",,**,,https://www.dawn.com/news/1721696/ndma-issues-guidelines-for-tourists-during-winter, 
129,"Rawalpindi residents brace for more road blockades, mobility restrictions
",,**,,https://www.dawn.com/news/1721695/rawalpindi-residents-brace-for-more-road-blockades-mobility-restrictions, 
130,"Peshawar admin’s plan to demolish major mosque stirs controversy
",,**,,https://www.dawn.com/news/1721713/peshawar-admins-plan-to-demolish-major-mosque-stirs-controversy, 
131,"Two militants, passer-by killed in Waziristan blast
",,**,,https://www.dawn.com/news/1721712/two-militants-passer-by-killed-in-waziristan-blast, 
132,"Man gets seven years in jail for drug pushing
",,**,,https://www.dawn.com/news/1721711/man-gets-seven-years-in-jail-for-drug-pushing, 
133,"People demand action against terrorists at Lakki peace rally
",,**,,https://www.dawn.com/news/1721710/people-demand-action-against-terrorists-at-lakki-peace-rally, 
134,"PHC grants bail to juvenile over honour killings
",,**,,https://www.dawn.com/news/1721709/phc-grants-bail-to-juvenile-over-honour-killings, 
135,"SECP bars K-Electric from changing board composition
",,**,,https://www.dawn.com/news/1721772/secp-bars-k-electric-from-changing-board-composition, 
136,"PSX falls in unison with global equities
",,**,,https://www.dawn.com/news/1721769/psx-falls-in-unison-with-global-equities, 
137,"Investors withdraw $660m from Naya Pakistan Certificates in six months
",,**,,https://www.dawn.com/news/1721778/investors-withdraw-660m-from-naya-pakistan-certificates-in-six-months, 
138,"ECC allows TCP to import urea from China and Azerbaijan
",,**,,https://www.dawn.com/news/1721775/ecc-allows-tcp-to-import-urea-from-china-and-azerbaijan, 
139,"Discos demand 25-paisa hike, KE seeks Rs1.9 cut for October
",,**,,https://www.dawn.com/news/1721774/discos-demand-25-paisa-hike-ke-seeks-rs19-cut-for-october, 
140,"Defending the World Cup, France look ‘to evolve in serene fashion’
",,**,,https://www.dawn.com/news/1721744/defending-the-world-cup-france-look-to-evolve-in-serene-fashion, 
141,"World Cup poorer without Mane, says Van Dijk
",,**,,https://www.dawn.com/news/1721743/world-cup-poorer-without-mane-says-van-dijk, 
142,"FIFA tech promises faster, more accurate offside decisions in Qatar
",,**,,https://www.dawn.com/news/1721740/fifa-tech-promises-faster-more-accurate-offside-decisions-in-qatar, 
143,"Arafat, Saad help Pakistan U-19 draw series against BD
",,**,,https://www.dawn.com/news/1721738/arafat-saad-help-pakistan-u-19-draw-series-against-bd, 
144,"Djokovic downs Medvedev in thriller
",,**,,https://www.dawn.com/news/1721735/djokovic-downs-medvedev-in-thriller, 
145,"IMF delay
",,**,,https://www.dawn.com/news/1721818/imf-delay, 
146,"Tracing the missing
",,**,,https://www.dawn.com/news/1721817/tracing-the-missing, 
147,"Joyless Punjab
",,**,,https://www.dawn.com/news/1721816/joyless-punjab, 
148,"Rising graph of militancy
",,**,,https://www.dawn.com/news/1721594/rising-graph-of-militancy, 
149,"Growing circular debt
",,**,,https://www.dawn.com/news/1721593/growing-circular-debt, 
150,"Failure of governance
",,**,,https://www.dawn.com/news/1721825/failure-of-governance, 
151,"Rolling back democracy
",,**,,https://www.dawn.com/news/1721824/rolling-back-democracy, 
152,"Ascendant markets
",,**,,https://www.dawn.com/news/1721823/ascendant-markets, 
153,"Unsung heroes
",,**,,https://www.dawn.com/news/1721819/unsung-heroes, 
154,"LKY on not crumbling
",,**,,https://www.dawn.com/news/1721598/lky-on-not-crumbling, 
155,"US is ‘here to stay’, VP assures Asian leaders at APEC summit
",,**,,https://www.dawn.com/news/1721765/us-is-here-to-stay-vp-assures-asian-leaders-at-apec-summit, 
156,"Squalls dump unusual amount of snow on New York state
",,**,,https://www.dawn.com/news/1721758/squalls-dump-unusual-amount-of-snow-on-new-york-state, 
157,"Argentine writer releases book of World Cup tales
",,**,,https://www.dawn.com/news/1721764/argentine-writer-releases-book-of-world-cup-tales, 
158,"Musk’s ultimatum sparks exodus at Twitter
",,**,,https://www.dawn.com/news/1721763/musks-ultimatum-sparks-exodus-at-twitter, 
159,"Azerbaijan to open embassy in Israel
",,**,,https://www.dawn.com/news/1721762/azerbaijan-to-open-embassy-in-israel, 
160,"EPICURIOUS: THE GINGERBREAD VILLAGE
",,**,,https://www.dawn.com/news/1660293/epicurious-the-gingerbread-village, 
161,"GOLF: PAKISTAN’S SOARING EAGLES
",,**,,https://www.dawn.com/news/1660589/golf-pakistans-soaring-eagles, 
162,"SOCIETY: INSPIRING INCLUSIVITY, ONE POST AT A TIME
",,**,,https://www.dawn.com/news/1660591/society-inspiring-inclusivity-one-post-at-a-time, 
163,"A BATTLE OF THE SEXES AMID SCALPELS AND SUTURES
",,**,,https://www.dawn.com/news/1660694/a-battle-of-the-sexes-amid-scalpels-and-sutures, 
164,"HEALTH: VOICES FROM THE FRONT LINES
",,**,,https://www.dawn.com/news/1564771/health-voices-from-the-front-lines, 
165,"FICTION: HISTORY, CRIME AND POWER
",,**,,https://www.dawn.com/news/1720668/fiction-history-crime-and-power, 
166,"FICTION: THE AMBIGUITY OF NORMALITY
",,**,,https://www.dawn.com/news/1720667/fiction-the-ambiguity-of-normality, 
167,"POETRY: POETRY AS POLITICS
",,**,,https://www.dawn.com/news/1720664/poetry-poetry-as-politics, 
168,"COLUMN: BEDIL AND GHALIB
",,**,,https://www.dawn.com/news/1720663/column-bedil-and-ghalib, 
169,"LITBUZZ
",,**,,https://www.dawn.com/news/1720659/litbuzz, 
170,"Agriculture’s declining contribution to smog
",,**,,https://www.dawn.com/news/1720864/agricultures-declining-contribution-to-smog, 
171,"Debt is costlier than we think
",,**,,https://www.dawn.com/news/1720860/debt-is-costlier-than-we-think, 
172,"Filling the missing space
",,**,,https://www.dawn.com/news/1720863/filling-the-missing-space, 
173,"The transformational power of mobile broadband
",,**,,https://www.dawn.com/news/1720858/the-transformational-power-of-mobile-broadband, 
174,"Economic reforms: if not now, then when?
",,**,,https://www.dawn.com/news/1720857/economic-reforms-if-not-now-then-when, 
175,"FIFA World Cup Qatar 2022: The fun begins
",,**,,https://www.dawn.com/news/1721861/fifa-world-cup-qatar-2022-the-fun-begins, 
176,"Mailbox
",,**,,https://www.dawn.com/news/1721860/mailbox, 
177,"Poet's Corner
",,**,,https://www.dawn.com/news/1721858/poets-corner, 
178,"Website review: All the related words
",,**,,https://www.dawn.com/news/1721856/website-review-all-the-related-words, 
179,"Cook-it-yourself: Malt caffè mocha
",,**,,https://www.dawn.com/news/1721855/cook-it-yourself-malt-caffe-mocha, 
